TU,Region,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
TTWFossil,France,301578.0,310600.0,319876.0,329416.0,339228.0,349320.0,359704.0,370386.0,381380.0,392696.0,404348.0,416348.0,428710.0,441448.0,454580.0,468122.0,482094.0,496512.0,511400.0,526776.0,542666.0,559092.0,576080.0,593658.0,611854.0,630698.0,650222.0,670458.0,691440.0,713204.0,735790.0,759236.0,783584.0,808876.0,835160.0,862480.0,890886.0,920430.0,951164.0,983144.0,1016428.0,1051076.0,1087152.0,1124718.0,1163844.0,1204598.0,1247058.0,1291296.0,1337394.0,1385434.0,1435500.0,1487684.0,1542078.0,1598780.0,1657890.0,1719514.0,1783758.0,1850740.0,1920578.0,1993392.0,2069314.0,2148476.0,2231018.0,2317086.0,2406830.0,2500408.0,2597984.0,2699732.0,2805826.0,2916456.0,3031812.0,3152098.0,3379608.0,3622266.0,3596790.0,3691100.0,3969586.0,4002876.0,4231564.0,4251584.0,4319718.0,4386076.0,4417102.0,4455974.0,4526228.0,4520238.0,4709912.0,4847548.0,5102054.0,5214980.0,5377266.0,5517174.0,5625244.0,5675644.0,5726000.0,5771838.0,5786132.0,5905182.0,6094582.0,6123334.0,6457882.0,6538270.0,6540950.0,6559708.0,6597222.0,6632876.0,6815772.0,7319796.0,7810056.0,8189820.0,8400888.0,8350510.0,8276518.0,7865712.0,7539800.0,7213888.0,8682768.0,10164010.0,11657698.0,13163922.0,14682768.0,16214326.0,17758682.0,19315930.0,20886156.0,22469452.0,24065910.0,25675622.0,27298678.0,28935172.0,30585200.0,29909568.0,29227656.0,28539418.0,27844810.0,27143784.0,25688276.0,24219846.0,22738406.0,21243858.0,19736114.0,18215074.0,16680648.0,15132738.0,13571248.0,11996084.0,10407146.0,8804336.0,7187558.0,5556710.0,3911694.0,3789942.0,3667074.0,3543084.0,3417960.0,3291698.0,3164288.0,3035720.0,2905988.0,2775084.0,2642998.0,2684740.0,2726798.0,2769174.0,2811872.0,2854892.0,2898236.0,2941908.0,2985908.0,3030240.0,3074904.0,3119906.0,3165246.0,3210924.0,3256946.0,3303312.0,3350026.0,3397090.0,3444504.0,3492272.0,3540398.0,3588882.0,3637726.0,3686936.0,3736510.0,3786452.0,3836766.0,3887452.0,3938516.0,3989956.0,4041778.0,4093984.0,4146574.0,4199552.0,4252922.0,4306686.0,4360846.0,4415404.0,4470364.0,4525726.0,4581496.0
TTWElec,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,14.0,76.0,1208.0,3482.0,7300.0,10740.0,16352.0,488870.0,965402.0,1445976.0,1930620.0,2419362.0,2912232.0,3409260.0,3910472.0,4415900.0,4925572.0,5439518.0,5957770.0,6480356.0,7007306.0,7538650.0,7522924.0,7506940.0,7490694.0,7474186.0,7457412.0,7439956.0,7422226.0,7404222.0,7385938.0,7367376.0,7348532.0,7329402.0,7309986.0,7290282.0,7270286.0,7249994.0,7229408.0,7208522.0,7187336.0,7165844.0,7135780.0,7105336.0,7074510.0,7043296.0,7011694.0,6979700.0,6947310.0,6914522.0,6881334.0,6847740.0,6817470.0,6786820.0,6755790.0,6724376.0,6692572.0,6660380.0,6627792.0,6594808.0,6561424.0,6527636.0,6493442.0,6458838.0,6423822.0,6388390.0,6352540.0,6316266.0,6279566.0,6242438.0,6204878.0,6166880.0,6128446.0,6089568.0,6050244.0,6010470.0,5970244.0,5929562.0,5888418.0,5846812.0,5804740.0,5762196.0,5719180.0,5675684.0,5631708.0,5587246.0,5542296.0,5496852.0,5450912.0,5404472.0,5357530.0,5310078.0
TTWHydrogen,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLDVFossil,France,1595656.0,1661508.0,1729756.0,1800508.0,1873864.0,1949936.0,2028840.0,2110712.0,2195688.0,2283916.0,2375556.0,2470784.0,2569784.0,2672752.0,2779900.0,2891460.0,3007668.0,3128792.0,3255108.0,3386912.0,3524520.0,3668272.0,3818524.0,3975660.0,4140084.0,4312228.0,4492548.0,4681532.0,4879700.0,5087588.0,5305784.0,5534896.0,5775572.0,6028504.0,6294412.0,6574068.0,6868284.0,7177920.0,7503884.0,7847140.0,8208696.0,8589632.0,8991076.0,9414232.0,9860360.0,10330796.0,10826960.0,11350340.0,11902516.0,12485152.0,13100008.0,13748944.0,14433928.0,15157032.0,15920452.0,16726504.0,17577640.0,18476440.0,19425640.0,20428132.0,21486964.0,22605360.0,23786728.0,25034668.0,26352984.0,27745696.0,29217052.0,30771540.0,32413904.0,34149156.0,35982592.0,37919808.0,41211556.0,44774256.0,45067892.0,46883508.0,51112700.0,52249484.0,55994220.0,57033648.0,58746096.0,60471076.0,61739236.0,63142572.0,65024232.0,65835820.0,69547020.0,72569596.0,77436632.0,80246160.0,83888892.0,87263368.0,90204772.0,92273412.0,94381356.0,96454420.0,98032308.0,101434688.0,106137420.0,108114284.0,113652000.0,115380000.0,117224000.0,118832000.0,120192000.0,120992000.0,122227944.0,123427920.0,123399908.0,124199860.0,125199260.0,126188584.0,126366504.0,131357596.0,130002900.0,129092704.0,129250292.0,129381272.0,129484780.0,129559920.0,129605780.0,129621428.0,129605912.0,129558248.0,129477436.0,129362456.0,129212256.0,129025768.0,128801884.0,128539492.0,128237436.0,126813876.0,125314500.0,123737280.0,122080156.0,120341008.0,115174308.0,109816720.0,104263540.0,98509956.0,92551068.0,86381856.0,79997212.0,73391900.0,66560584.0,59497816.0,52198032.0,44655540.0,36864544.0,28819116.0,20513204.0,20096412.0,19661584.0,19208252.0,18735952.0,18244192.0,17732488.0,17200332.0,16647212.0,16072604.0,15475968.0,15899180.0,16331840.0,16774140.0,17226280.0,17688452.0,18160864.0,18643720.0,19137232.0,19641620.0,20157096.0,20683888.0,21222224.0,21772332.0,22334452.0,22908824.0,23495696.0,24095316.0,24707940.0,25333824.0,25973240.0,26626452.0,27293740.0,27975380.0,28671660.0,29382872.0,30109312.0,30851280.0,31609084.0,32383040.0,33173468.0,33980696.0,34805048.0,35646868.0,36506500.0,37384296.0,38280612.0,39195812.0,40130272.0,41084364.0,42058476.0
PLDVElec,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,80.0,92.0,140.0,740.0,11416.0,33496.0,72000.0,111360.0,179060.0,410160.0,637740.0,865320.0,1092900.0,1320480.0,1548060.0,1775640.0,2003224.0,2230804.0,2458384.0,2685964.0,2913544.0,3141124.0,3368708.0,3596288.0,3573516.0,3550744.0,3527968.0,3505196.0,3482424.0,3474672.0,3466920.0,3459168.0,3451420.0,3443668.0,3435916.0,3428164.0,3420412.0,3412660.0,3404908.0,3397156.0,3389404.0,3381652.0,3373904.0,3366152.0,3337648.0,3309144.0,3280640.0,3252136.0,3223636.0,3195132.0,3166628.0,3138124.0,3109624.0,3081120.0,3054288.0,3027456.0,3000624.0,2973792.0,2946960.0,2920132.0,2893300.0,2866468.0,2839636.0,2812804.0,2785972.0,2759140.0,2732312.0,2705480.0,2678648.0,2651816.0,2624984.0,2598152.0,2571320.0,2544488.0,2517660.0,2490828.0,2463996.0,2437164.0,2410332.0,2383500.0,2356668.0,2329840.0,2303008.0,2276176.0,2249344.0,2222512.0,2195680.0,2168848.0,2142020.0,2115188.0,2088356.0,2061524.0,2034692.0,2007860.0
PLDVPlugInHybrid,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2404.0,9740.0,32236.0,83096.0,128060.0,168160.0,215184.0,262208.0,309232.0,356256.0,403280.0,450304.0,497332.0,544356.0,591380.0,638404.0,685428.0,732452.0,727812.0,723176.0,718536.0,713900.0,709260.0,670500.0,631736.0,592972.0,554212.0,515448.0,476684.0,437924.0,399160.0,360396.0,321632.0,282872.0,244108.0,205344.0,166584.0,127820.0,126736.0,125656.0,124572.0,123492.0,122408.0,121328.0,120244.0,119160.0,118080.0,116996.0,115976.0,114960.0,113940.0,112920.0,111904.0,110884.0,109864.0,108844.0,107828.0,106808.0,105788.0,104772.0,103752.0,102732.0,101716.0,100696.0,99676.0,98656.0,97640.0,96620.0,95600.0,94584.0,93564.0,92544.0,91524.0,90508.0,89488.0,88468.0,87452.0,86432.0,85412.0,84392.0,83376.0,82356.0,81336.0,80320.0,79300.0,78280.0,77260.0,76244.0
PLDVHydrogen,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCVFossil,France,520036.0,539380.0,559332.0,579904.0,601124.0,623008.0,645584.0,668880.0,692928.0,717752.0,743388.0,769876.0,797252.0,825556.0,854836.0,885140.0,916520.0,949028.0,982724.0,1017672.0,1053936.0,1091584.0,1130700.0,1171352.0,1213632.0,1257628.0,1303428.0,1351136.0,1400852.0,1452692.0,1506764.0,1563196.0,1622112.0,1683648.0,1747944.0,1815152.0,1885420.0,1958920.0,2035816.0,2116292.0,2200536.0,2288744.0,2381120.0,2477888.0,2579276.0,2685516.0,2796860.0,2913572.0,3035924.0,3164208.0,3298724.0,3439788.0,3587732.0,3742904.0,3905668.0,4076408.0,4255520.0,4443428.0,4640572.0,4847412.0,5064436.0,5292148.0,5531080.0,5781792.0,6044872.0,6320936.0,6610620.0,6914608.0,7233604.0,7568352.0,7919636.0,8288268.0,8945316.0,9651128.0,9646828.0,9965512.0,10788612.0,10951440.0,11654144.0,11787232.0,12055888.0,12322632.0,12492484.0,12686388.0,12972268.0,13041408.0,13679160.0,14172656.0,15016056.0,15450552.0,16037328.0,16563988.0,17000656.0,17266876.0,17535668.0,17793252.0,17955504.0,18446260.0,19163824.0,19381480.0,23562284.0,23726620.0,23856012.0,23989004.0,24113420.0,24202432.0,24296216.0,24413804.0,24524160.0,24593956.0,24651884.0,24493508.0,24463000.0,24525556.0,24856180.0,24993896.0,25018080.0,25055032.0,25104044.0,25164484.0,25235784.0,25814780.0,26403108.0,27000916.0,27608348.0,28225556.0,28906796.0,29665992.0,30440744.0,31231344.0,32038080.0,32796572.0,33569992.0,34358612.0,35162700.0,35982540.0,37416024.0,38882504.0,40382620.0,41917032.0,43486400.0,45091400.0,46732724.0,48411072.0,50127160.0,51881708.0,53675460.0,55509172.0,57383600.0,59299532.0,61257756.0,60987000.0,60696764.0,60386556.0,60055872.0,59704204.0,59331032.0,58935824.0,58518032.0,58077112.0,57612492.0,57296176.0,56959816.0,56602916.0,56224968.0,55825452.0,55403844.0,54959596.0,54492172.0,54001000.0,53485512.0,52945128.0,52379248.0,51787272.0,51168580.0,50522540.0,49848508.0,49145832.0,48413844.0,47651856.0,46859184.0,46035112.0,45178924.0,44289876.0,43367228.0,42410208.0,41418036.0,40389924.0,39325056.0,38222612.0,37081744.0,35901596.0,34681300.0,33419960.0,32116668.0,30770500.0,29380516.0,27945748.0,26465224.0,24937948.0,23362896.0
LCVElec,France,536.0,552.0,572.0,588.0,608.0,624.0,644.0,664.0,684.0,704.0,728.0,748.0,772.0,796.0,820.0,844.0,868.0,896.0,924.0,952.0,980.0,1012.0,1044.0,1076.0,1108.0,1144.0,1180.0,1220.0,1260.0,1300.0,1344.0,1388.0,1436.0,1484.0,1536.0,1588.0,1644.0,1704.0,1764.0,1828.0,1896.0,1968.0,2040.0,2116.0,2196.0,2280.0,2368.0,2460.0,2556.0,2660.0,2764.0,2876.0,2992.0,3116.0,3244.0,3376.0,3516.0,3664.0,3820.0,3980.0,4152.0,4328.0,4516.0,4712.0,4916.0,5128.0,5356.0,5588.0,5836.0,6096.0,6368.0,6652.0,7168.0,7720.0,7700.0,7944.0,8584.0,8700.0,9240.0,9332.0,9528.0,9724.0,9840.0,9980.0,10188.0,10224.0,10708.0,11076.0,11716.0,12040.0,12476.0,12868.0,13184.0,13372.0,13560.0,13736.0,13844.0,14200.0,14732.0,14876.0,16380.0,19240.0,20552.0,21308.0,22252.0,22000.0,21928.0,23012.0,20940.0,22184.0,20132.0,21624.0,35476.0,55744.0,71064.0,88552.0,126516.0,165048.0,204148.0,243828.0,284092.0,324948.0,366400.0,408460.0,451128.0,494412.0,538324.0,582864.0,628048.0,673872.0,720352.0,716368.0,712280.0,708092.0,703800.0,699400.0,701396.0,703384.0,705360.0,707324.0,709280.0,711224.0,713160.0,715084.0,716996.0,718896.0,720784.0,722660.0,724524.0,726372.0,728212.0,789488.0,851640.0,914684.0,978624.0,1043476.0,1109244.0,1175944.0,1243580.0,1312168.0,1381716.0,1425252.0,1469368.0,1514064.0,1559348.0,1605224.0,1651704.0,1698792.0,1746492.0,1794816.0,1843764.0,1893348.0,1943572.0,1994444.0,2045972.0,2098160.0,2151016.0,2204548.0,2258764.0,2313668.0,2369268.0,2425576.0,2482592.0,2540332.0,2598796.0,2657996.0,2717940.0,2778632.0,2840084.0,2902304.0,2965296.0,3029072.0,3093636.0,3159000.0,3225172.0,3292160.0,3359972.0,3428616.0,3498100.0,3568436.0,3639632.0
LCVPlugInHybrid,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10356.0,20868.0,31536.0,42364.0,53352.0,64500.0,75816.0,87300.0,98948.0,110768.0,122760.0,134928.0,147268.0,159788.0,172488.0,171532.0,170552.0,169552.0,168524.0,167472.0,167948.0,168424.0,168896.0,169368.0,169836.0,170300.0,170764.0,171224.0,171684.0,172136.0,172592.0,173040.0,173484.0,173928.0,174368.0,189040.0,203924.0,219020.0,234328.0,249860.0,265608.0,281576.0,297772.0,314196.0,330848.0,341276.0,351836.0,362540.0,373384.0,384368.0,395496.0,406772.0,418196.0,429764.0,441488.0,453360.0,465384.0,477568.0,489904.0,502400.0,515056.0,527876.0,540856.0,554004.0,567316.0,580800.0,594452.0,608276.0,622276.0,636452.0,650804.0,665340.0,680052.0,694952.0,710036.0,725304.0,740764.0,756416.0,772260.0,788300.0,804540.0,820976.0,837612.0,854456.0,871504.0
