Approach,Calcul,Region,TU,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
EnergyStart,Feedback,France,TTWFossil,150789.0,155300.0,159938.0,164708.0,169614.0,174660.0,179852.0,185193.0,190690.0,196348.0,202174.0,208174.0,214355.0,220724.0,227290.0,234061.0,241047.0,248256.0,255700.0,263388.0,271333.0,279546.0,288040.0,296829.0,305927.0,315349.0,325111.0,335229.0,345720.0,356602.0,367895.0,379618.0,391792.0,404438.0,417580.0,431240.0,445443.0,460215.0,475582.0,491572.0,508214.0,525538.0,543576.0,562359.0,581922.0,602299.0,623529.0,645648.0,668697.0,692717.0,717750.0,743842.0,771039.0,799390.0,828945.0,859757.0,891879.0,925370.0,960289.0,996696.0,1034657.0,1074238.0,1115509.0,1158543.0,1203415.0,1250204.0,1298992.0,1349866.0,1402913.0,1458228.0,1515906.0,1576049.0,1689804.0,1811133.0,1798395.0,1845550.0,1984793.0,2001438.0,2115782.0,2125792.0,2159859.0,2193038.0,2208551.0,2227987.0,2263114.0,2260119.0,2354956.0,2423774.0,2551027.0,2607490.0,2688633.0,2758587.0,2812622.0,2837822.0,2863000.0,2885919.0,2893066.0,2952591.0,3047291.0,3061667.0,3228941.0,3269135.0,3270475.0,3279854.0,3298611.0,3316438.0,3407886.0,3659898.0,3905028.0,4094910.0,4200444.0,4175255.0,4138259.0,3932856.0,3769900.0,3606944.0,4341384.0,5082005.0,5828849.0,6581961.0,7341384.0,8107163.0,8879341.0,9657965.0,10443078.0,11234726.0,12032955.0,12837811.0,13649339.0,14467586.0,15292600.0,14954784.0,14613828.0,14269709.0,13922405.0,13571892.0,12844138.0,12109923.0,11369203.0,10621929.0,9868057.0,9107537.0,8340324.0,7566369.0,6785624.0,5998042.0,5203573.0,4402168.0,3593779.0,2778355.0,1955847.0,1894971.0,1833537.0,1771542.0,1708980.0,1645849.0,1582144.0,1517860.0,1452994.0,1387542.0,1321499.0,1342370.0,1363399.0,1384587.0,1405936.0,1427446.0,1449118.0,1470954.0,1492954.0,1515120.0,1537452.0,1559953.0,1582623.0,1605462.0,1628473.0,1651656.0,1675013.0,1698545.0,1722252.0,1746136.0,1770199.0,1794441.0,1818863.0,1843468.0,1868255.0,1893226.0,1918383.0,1943726.0,1969258.0,1994978.0,2020889.0,2046992.0,2073287.0,2099776.0,2126461.0,2153343.0,2180423.0,2207702.0,2235182.0,2262863.0,2290748.0
EnergyStart,Feedback,Africa,TTWFossil,1457020.0,1486175.0,1515845.0,1546045.0,1576786.0,1608085.0,1639959.0,1672428.0,1705510.0,1739231.0,1773615.0,1808689.0,1844483.0,1881029.0,1918361.0,1956516.0,1995533.0,2035455.0,2076324.0,2118190.0,2161100.0,2205106.0,2250264.0,2296631.0,2344265.0,2393229.0,2443587.0,2495406.0,2548755.0,2603705.0,2660331.0,2718708.0,2778914.0,2841030.0,2905139.0,2971325.0,3039676.0,3110281.0,3183232.0,3258622.0,3336549.0,3417109.0,3500405.0,3586540.0,3675620.0,3767754.0,3863052.0,3961628.0,4063601.0,4169089.0,4278216.0,4391109.0,4507896.0,4628710.0,4753690.0,4882975.0,5016709.0,5155042.0,5298126.0,5446119.0,5599182.0,5757483.0,5921192.0,6090487.0,6265550.0,6446569.0,6633737.0,6827255.0,7027328.0,7234169.0,7447996.0,7669037.0,7897524.0,8133697.0,8377807.0,8630108.0,8890867.0,9160356.0,9438859.0,9726666.0,10024079.0,10480562.0,10938462.0,11397853.0,11858803.0,12321378.0,12787324.0,13255020.0,13724522.0,14195884.0,14669157.0,15200710.0,15734420.0,16270344.0,16808531.0,17349031.0,18003759.0,18661243.0,19321545.0,19984719.0,20772251.0,20222513.0,19309856.0,20260999.0,19986185.0,20426670.0,22412998.0,24850036.0,26742044.0,28071379.0,30340083.0,31597609.0,32685202.0,32351964.0,32239837.0,31995538.0,32968660.0,33949531.0,34938206.0,35934736.0,36939177.0,37694988.0,38456632.0,39224151.0,39997583.0,40776968.0,40695345.0,40612359.0,40527999.0,40442253.0,40355108.0,41049583.0,41749332.0,42454390.0,43164792.0,43880575.0,44658616.0,45442596.0,46232556.0,47028536.0,47830576.0,48563957.0,49302839.0,50047257.0,50797249.0,51552852.0,52088924.0,52628744.0,53172337.0,53719726.0,54270937.0,54053010.0,53832291.0,53608756.0,53382383.0,53153151.0,53105209.0,53055953.0,53005370.0,52953449.0,52900177.0,51983493.0,51057975.0,50123556.0,49180173.0,48227758.0,46863070.0,45485722.0,44095622.0,42692678.0,41276798.0,39768351.0,38246088.0,36709909.0,35159715.0,33595404.0,31763467.0,29915004.0,28049895.0,26168022.0,24269264.0,22921508.0,21561577.0,20189384.0,18804841.0,17407859.0,16599330.0,15783434.0,14960117.0,14129326.0,13291007.0,12597324.0,11897337.0,11191001.0,10478270.0,9759097.0,9315623.0,8868089.0,8416465.0,7960722.0,7500831.0
EnergyStart,Feedback,ASEAN,TTWFossil,1106211.0,1128346.0,1150873.0,1173801.0,1197141.0,1220904.0,1245104.0,1269755.0,1294872.0,1320474.0,1346579.0,1373208.0,1400384.0,1428131.0,1456474.0,1485443.0,1515066.0,1545375.0,1576405.0,1608190.0,1640768.0,1674180.0,1708465.0,1743668.0,1779833.0,1817008.0,1855241.0,1894583.0,1935087.0,1976807.0,2019799.0,2064120.0,2109831.0,2156991.0,2205664.0,2255915.0,2307809.0,2361414.0,2416800.0,2474039.0,2533203.0,2594367.0,2657608.0,2723004.0,2790636.0,2860586.0,2932939.0,3007781.0,3085202.0,3165291.0,3248144.0,3333855.0,3422523.0,3514249.0,3609137.0,3707294.0,3808829.0,3913855.0,4022488.0,4134849.0,4251059.0,4371245.0,4495537.0,4624071.0,4756984.0,4894419.0,5036522.0,5183447.0,5335348.0,5492387.0,5654731.0,5822551.0,5996025.0,6175335.0,6360669.0,6552224.0,6750200.0,6954804.0,7166251.0,7384762.0,7610567.0,7728793.0,7847768.0,7967497.0,8087983.0,8209229.0,8970825.0,9734540.0,10500497.0,11268812.0,12039594.0,13135589.0,14235121.0,15338338.0,16445380.0,17556381.0,18754110.0,19956310.0,21163111.0,22374638.0,23729730.0,23258905.0,22344604.0,23574028.0,23369994.0,23993228.0,26771749.0,30115762.0,32820668.0,34837240.0,38025713.0,39870908.0,41497287.0,41304556.0,41372479.0,41252252.0,44370800.0,47515172.0,50685548.0,53882110.0,57105040.0,60156793.0,63233598.0,66335629.0,69463062.0,72616073.0,73199018.0,73785749.0,74376290.0,74970664.0,75568895.0,76856640.0,78154153.0,79461497.0,80778740.0,82105947.0,82745502.0,83389179.0,84037001.0,84688994.0,85345184.0,85223263.0,85098874.0,84971996.0,84842606.0,84710684.0,84164558.0,83612314.0,83053906.0,82489286.0,81918406.0,79774666.0,77611065.0,75427460.0,73223705.0,70999655.0,67383265.0,63734435.0,60052933.0,56338523.0,52590971.0,50154110.0,47695262.0,45214271.0,42710976.0,40185219.0,37481359.0,34753364.0,32001063.0,29224281.0,26422844.0,24814499.0,23191725.0,21554421.0,19902481.0,18235802.0,17375750.0,16507897.0,15632187.0,14748562.0,13856967.0,13497458.0,13134573.0,12768287.0,12398576.0,12025415.0,11852195.0,11677251.0,11500571.0,11322142.0,11141950.0,11109612.0,11076795.0,11043495.0,11009708.0,10975431.0,10983836.0,10992121.0,11000284.0,11008324.0,11016239.0
EnergyStart,Feedback,China,TTWFossil,823248.0,839721.0,856486.0,873549.0,890919.0,908603.0,926613.0,944958.0,963651.0,982704.0,1002131.0,1021949.0,1042173.0,1062822.0,1083916.0,1105474.0,1127520.0,1150076.0,1173169.0,1196823.0,1221068.0,1245933.0,1271448.0,1297646.0,1324561.0,1352227.0,1380680.0,1409959.0,1440102.0,1471150.0,1503145.0,1536129.0,1570147.0,1605244.0,1641467.0,1678863.0,1717483.0,1757377.0,1798595.0,1841193.0,1885223.0,1930741.0,1977805.0,2026474.0,2076806.0,2128863.0,2182708.0,2238406.0,2296023.0,2355626.0,2417286.0,2481072.0,2547059.0,2615322.0,2685938.0,2758987.0,2834550.0,2912711.0,2993557.0,3077176.0,3163660.0,3253103.0,3345602.0,3441258.0,3540172.0,3642452.0,3748206.0,3857548.0,3970594.0,4087463.0,4208280.0,4333173.0,4462273.0,4595716.0,4733643.0,4876199.0,5023534.0,5175801.0,5333161.0,5495779.0,5663823.0,5997597.0,6332280.0,6667931.0,7004605.0,7342353.0,7709576.0,8078030.0,8447766.0,8818833.0,9191276.0,10629922.0,12072880.0,13520356.0,14972546.0,16429639.0,19020933.0,21621028.0,24230240.0,26848870.0,29650542.0,30868330.0,31200084.0,34377770.0,35385717.0,37543678.0,42865162.0,49150403.0,54437969.0,58588517.0,64722607.0,71808504.0,78436418.0,81405697.0,84577228.0,87098703.0,92154744.0,97252328.0,102391743.0,107573279.0,112797229.0,115713464.0,118652692.0,121615072.0,124600760.0,127609915.0,129189477.0,130780428.0,132382844.0,133996799.0,135622369.0,138578834.0,141558344.0,144561058.0,147587131.0,150636723.0,151524714.0,152417819.0,153316068.0,154219490.0,155128116.0,154658716.0,154182703.0,153700022.0,153210620.0,152714442.0,151432736.0,150137445.0,148828466.0,147505695.0,146169028.0,142458519.0,138713559.0,134933900.0,131119290.0,127269475.0,120833379.0,114339533.0,107787524.0,101176935.0,94507346.0,86278461.0,77976749.0,69601689.0,61152760.0,52629436.0,44068727.0,35432885.0,26721376.0,17933663.0,9069204.0,8215187.0,7353594.0,6484371.0,5607464.0,4722819.0,4598055.0,4472123.0,4345016.0,4216723.0,4087237.0,4011005.0,3934037.0,3856328.0,3777873.0,3698664.0,3628504.0,3557665.0,3486144.0,3413936.0,3341034.0,3280164.0,3218702.0,3156644.0,3093986.0,3030723.0,2984390.0,2937597.0,2890342.0,2842619.0,2794427.0
EnergyStart,Feedback,Europe\France,TTWFossil,16459827.0,16789187.0,17124376.0,17465534.0,17812817.0,18166402.0,18526481.0,18893270.0,19267006.0,19647947.0,20036379.0,20432608.0,20836970.0,21249825.0,21671561.0,22102594.0,22543369.0,22994357.0,23456059.0,23929007.0,24413757.0,24910897.0,25421044.0,25944841.0,26482961.0,27036102.0,27604994.0,28190388.0,28793067.0,29413837.0,30053532.0,30713009.0,31393153.0,32094873.0,32819104.0,33566805.0,34338960.0,35136579.0,35960698.0,36812377.0,37692704.0,38602792.0,39543781.0,40516840.0,41523168.0,42563990.0,43640563.0,44754177.0,45906153.0,47097845.0,48330645.0,49605979.0,50925311.0,52290146.0,53702029.0,55162548.0,56673335.0,58236070.0,59852480.0,61524340.0,63253481.0,65041787.0,66891196.0,68803707.0,70781380.0,72826335.0,74940763.0,77126917.0,79387125.0,81723787.0,84139378.0,86636453.0,89217647.0,91885681.0,94643364.0,97493594.0,100439364.0,103483763.0,106629982.0,109881316.0,113241167.0,113931227.0,114630905.0,115340023.0,116058410.0,116785901.0,121479141.0,126189548.0,130917711.0,135664190.0,140429522.0,141834873.0,143251028.0,144677929.0,146115523.0,147563759.0,150271791.0,152994294.0,155731393.0,158483207.0,162198036.0,150973144.0,138188397.0,139314706.0,132321492.0,130467106.0,133453750.0,138533172.0,140107782.0,138685640.0,141771128.0,139719661.0,137046030.0,128863267.0,122198766.0,115579384.0,112623619.0,109640881.0,106630974.0,103593703.0,100528870.0,97436276.0,94315721.0,91167003.0,87989919.0,84784267.0,81549839.0,78286431.0,74993832.0,71671835.0,68320228.0,65442475.0,62538994.0,59609599.0,56654105.0,53672326.0,51030111.0,48364369.0,45674932.0,42961630.0,40224293.0,37462749.0,34676825.0,31866347.0,29031141.0,26171030.0,23285837.0,20375384.0,17439490.0,14477976.0,11490659.0,11108165.0,10722181.0,10332681.0,9939639.0,9543030.0,9142829.0,8739009.0,8331544.0,7920409.0,7505577.0,7425192.0,7343984.0,7261947.0,7179073.0,7095357.0,7010792.0,6925373.0,6839093.0,6751944.0,6663922.0,6575019.0,6485229.0,6394546.0,6302962.0,6210470.0,6117065.0,6022740.0,5927487.0,5831300.0,5734172.0,5636096.0,5537065.0,5437072.0,5336109.0,5234171.0,5131249.0,5027336.0,4922425.0,4816510.0,4709581.0,4601632.0,4492656.0,4382645.0,4271592.0,4159488.0,4046326.0,3932099.0,3816798.0,3700416.0,3582946.0
EnergyStart,Feedback,India,TTWFossil,473637.0,483114.0,492759.0,502576.0,512569.0,522744.0,533105.0,543660.0,554414.0,565376.0,576553.0,587955.0,599590.0,611470.0,623606.0,636009.0,648692.0,661670.0,674955.0,688565.0,702513.0,716819.0,731498.0,746571.0,762055.0,777972.0,794342.0,811187.0,828529.0,846392.0,864800.0,883776.0,903348.0,923540.0,944380.0,965895.0,988114.0,1011066.0,1034780.0,1059288.0,1084619.0,1110807.0,1137884.0,1165885.0,1194842.0,1224792.0,1255771.0,1287815.0,1320964.0,1355255.0,1390729.0,1427427.0,1465392.0,1504665.0,1545292.0,1587319.0,1630793.0,1675761.0,1722274.0,1770382.0,1820138.0,1871597.0,1924815.0,1979848.0,2036756.0,2095600.0,2156444.0,2219351.0,2284389.0,2351627.0,2421137.0,2492991.0,2567265.0,2644039.0,2723392.0,2805408.0,2890174.0,2977777.0,3068311.0,3161869.0,3258550.0,3382534.0,3506944.0,3631798.0,3757114.0,3882907.0,4334613.0,4787516.0,5241690.0,5697205.0,6154129.0,6795644.0,7439184.0,8084838.0,8732690.0,9382819.0,10258724.0,11137758.0,12020023.0,12905614.0,13875741.0,13022343.0,12015862.0,12209348.0,11685820.0,11608793.0,12924984.0,14512498.0,15790721.0,16737637.0,18247228.0,19588742.0,20815366.0,21104050.0,21489908.0,21747353.0,23309435.0,24884435.0,26472443.0,28073550.0,29687846.0,31656736.0,33641905.0,35643466.0,37661535.0,39696224.0,40517693.0,41345522.0,42179753.0,43020430.0,43867596.0,45843845.0,47836268.0,49844979.0,51870090.0,53911714.0,56098213.0,58302553.0,60524857.0,62765251.0,65023859.0,67300638.0,69595882.0,71909718.0,74242274.0,76593680.0,78923567.0,81272214.0,83639753.0,86026311.0,88432021.0,89067997.0,89707965.0,90351950.0,90999975.0,91652066.0,88830335.0,85982678.0,83108907.0,80208834.0,77282268.0,69507829.0,61664788.0,53752659.0,45770947.0,37719159.0,31963395.0,26157076.0,20299842.0,14391331.0,8431180.0,8229967.0,8026862.0,7821849.0,7614915.0,7406046.0,7576973.0,7749260.0,7922915.0,8097948.0,8274369.0,8345838.0,8417787.0,8490217.0,8563133.0,8636537.0,8627369.0,8617970.0,8608338.0,8598470.0,8588365.0,8580721.0,8572858.0,8564776.0,8556472.0,8547944.0,8546053.0,8543995.0,8541768.0,8539369.0,8536798.0
EnergyStart,Feedback,LatinAmerica,TTWFossil,5396427.0,5504409.0,5614302.0,5726152.0,5840010.0,5955935.0,6073988.0,6194242.0,6316772.0,6441666.0,6569015.0,6698920.0,6831492.0,6966848.0,7105116.0,7246433.0,7390942.0,7538801.0,7690172.0,7845230.0,8004157.0,8167147.0,8334401.0,8506130.0,8682555.0,8863905.0,9050418.0,9242343.0,9439933.0,9643456.0,9853182.0,10069395.0,10292383.0,10522445.0,10759887.0,11005024.0,11258179.0,11519682.0,11789873.0,12069100.0,12357718.0,12656095.0,12964602.0,13283624.0,13613553.0,13954791.0,14307750.0,14672853.0,15050534.0,15441235.0,15845414.0,16263538.0,16696087.0,17143554.0,17606446.0,18085283.0,18580602.0,19092951.0,19622898.0,20171025.0,20737932.0,21324235.0,21930572.0,22557597.0,23205986.0,23876434.0,24569658.0,25286398.0,26027418.0,26793502.0,27585464.0,28404141.0,29250397.0,30125124.0,31029242.0,31963703.0,32929486.0,33927606.0,34959108.0,36025072.0,37126614.0,37688429.0,38253879.0,38822979.0,39395745.0,39972191.0,41014433.0,42061357.0,43113060.0,44169634.0,45231168.0,46964020.0,48703780.0,50450627.0,52204735.0,53966269.0,55078289.0,56195983.0,57319413.0,58448638.0,59934080.0,57228395.0,53681321.0,55408143.0,53832403.0,54248407.0,58816261.0,64523780.0,68782105.0,71589644.0,76783112.0,78521270.0,79860686.0,77810219.0,76407702.0,74791434.0,76357058.0,77934774.0,79524663.0,81126809.0,82741293.0,84438215.0,86148238.0,87871451.0,89607945.0,91357808.0,90506461.0,89646357.0,88777431.0,87899615.0,87012843.0,87419460.0,87828121.0,88238838.0,88651622.0,89066481.0,88803619.0,88537029.0,88266683.0,87992549.0,87714598.0,86159343.0,84589274.0,83004282.0,81404260.0,79789095.0,77121334.0,74429285.0,71712773.0,68971621.0,66205653.0,62311303.0,58382266.0,54418293.0,50419136.0,46384543.0,44285304.0,42167146.0,40029933.0,37873530.0,35697797.0,33679062.0,31642246.0,29587222.0,27513859.0,25422025.0,23903416.0,22371203.0,20825289.0,19265576.0,17691966.0,16647974.0,15594607.0,14531799.0,13459482.0,12377587.0,11994425.0,11607714.0,11217428.0,10823541.0,10426027.0,10205459.0,9982787.0,9757995.0,9531067.0,9301988.0,9167878.0,9032435.0,8895647.0,8757505.0,8617998.0,8559896.0,8501134.0,8441707.0,8381609.0,8320836.0,8279663.0,8237981.0,8195788.0,8153078.0,8109849.0
EnergyStart,Feedback,MiddleEast,TTWFossil,1351558.0,1378602.0,1406125.0,1434139.0,1462655.0,1491689.0,1521256.0,1551374.0,1582062.0,1613342.0,1645237.0,1677772.0,1710976.0,1744876.0,1779506.0,1814899.0,1851092.0,1888124.0,1926036.0,1964870.0,2004675.0,2045496.0,2087385.0,2130396.0,2174582.0,2220002.0,2266715.0,2314783.0,2364271.0,2415244.0,2467771.0,2521922.0,2577770.0,2635390.0,2694859.0,2756254.0,2819658.0,2885152.0,2952823.0,3022756.0,3095042.0,3169772.0,3247039.0,3326939.0,3409571.0,3495035.0,3583436.0,3674877.0,3769469.0,3867322.0,3968550.0,4073271.0,4181604.0,4293674.0,4409608.0,4529535.0,4653589.0,4781909.0,4914637.0,5051917.0,5193901.0,5340744.0,5492603.0,5649644.0,5812036.0,5979952.0,6153573.0,6333084.0,6518675.0,6710544.0,6908894.0,7113935.0,7325884.0,7544963.0,7771403.0,8005442.0,8247327.0,8497310.0,8755654.0,9022629.0,9298515.0,10253957.0,11211476.0,12171259.0,13133483.0,14098315.0,14516338.0,14936120.0,15357704.0,15781130.0,16206439.0,17015960.0,17828461.0,18644035.0,19462773.0,20284762.0,21169132.0,22057099.0,22948748.0,23844160.0,24888909.0,25485633.0,25416808.0,27697460.0,28246015.0,29732493.0,32666823.0,36260685.0,39061322.0,41040296.0,44393218.0,46033780.0,47430022.0,46775751.0,46457209.0,45961948.0,47042498.0,48131484.0,49228964.0,50334996.0,51449638.0,52556266.0,53671479.0,54795334.0,55927892.0,57069210.0,56319872.0,55563208.0,54799163.0,54027684.0,53248714.0,52454862.0,51653347.0,50844112.0,50027100.0,49202254.0,48145457.0,47078790.0,46002183.0,44915562.0,43818855.0,42332285.0,40832222.0,39318569.0,37791228.0,36250100.0,35211170.0,34162695.0,33104605.0,32036831.0,30959303.0,30150892.0,29334989.0,28511542.0,27680495.0,26841794.0,25888382.0,24926280.0,23955425.0,22975755.0,21987205.0,20875196.0,19753188.0,18621109.0,17478889.0,16326453.0,15623598.0,14914368.0,14198718.0,13476602.0,12747974.0,12266969.0,11781566.0,11291733.0,10797438.0,10298649.0,9950108.0,9598355.0,9243366.0,8885119.0,8523590.0,8177953.0,7829153.0,7477168.0,7121975.0,6763551.0,6558242.0,6351021.0,6141874.0,5930788.0,5717748.0,5613972.0,5509187.0,5403387.0,5296562.0,5188707.0,5144103.0,5099016.0,5053442.0,5007379.0,4960822.0
EnergyStart,Feedback,NorthAmerica,TTWFossil,35136060.0,35839130.0,36554643.0,37282897.0,38024228.0,38779009.0,39547654.0,40330623.0,41128419.0,41941598.0,42770765.0,43616578.0,44479751.0,45361054.0,46261316.0,47181424.0,48122325.0,49085029.0,50070605.0,51080185.0,52114959.0,53176183.0,54265171.0,55383297.0,56531997.0,57712764.0,58927150.0,60176766.0,61463278.0,62788409.0,64153936.0,65561693.0,67013566.0,68511497.0,70057480.0,71653563.0,73301849.0,75004491.0,76763701.0,78581743.0,80460937.0,82403660.0,84412348.0,86489495.0,88637657.0,90859453.0,93157567.0,95534749.0,97993820.0,100537673.0,103169276.0,105891673.0,108707993.0,111621445.0,114635329.0,117753034.0,120978045.0,124313946.0,127764422.0,131333269.0,135024390.0,138841806.0,142789657.0,146872209.0,151093859.0,155459135.0,159972708.0,164639395.0,169464161.0,174452129.0,179608583.0,184938977.0,190448938.0,196144272.0,202030974.0,208115233.0,214403436.0,220902179.0,227618273.0,234558751.0,241730875.0,242729243.0,243747460.0,244785043.0,245841524.0,246916458.0,250527375.0,254161234.0,257818108.0,261498066.0,265201175.0,269444981.0,273713446.0,278006710.0,282324906.0,286668164.0,293488558.0,300341965.0,307228827.0,314149574.0,322992787.0,304244007.0,281726721.0,287245078.0,275839135.0,274898524.0,283803959.0,297330619.0,303478895.0,303152104.0,312724925.0,311727358.0,309280909.0,294179327.0,282210943.0,270047185.0,270297203.0,270544986.0,270790506.0,271033736.0,271274646.0,267265653.0,263218123.0,259131773.0,255006317.0,250841468.0,239148224.0,227351116.0,215449400.0,203442328.0,191329147.0,184222166.0,177051272.0,169816007.0,162515908.0,155150511.0,146829424.0,138434475.0,129965134.0,121420871.0,112801151.0,102701100.0,92512455.0,82234584.0,71866854.0,61408625.0,52006950.0,42523361.0,32957277.0,23308113.0,13575280.0,12528064.0,11471592.0,10405798.0,9330615.0,8245976.0,8350705.0,8456199.0,8562463.0,8669501.0,8777320.0,8672160.0,8565940.0,8458653.0,8350289.0,8240843.0,8120728.0,7999430.0,7876941.0,7753252.0,7628353.0,7645533.0,7662731.0,7679947.0,7697180.0,7714430.0,7716557.0,7718570.0,7720466.0,7722245.0,7723905.0,7685048.0,7645717.0,7605909.0,7565621.0,7524848.0,7468887.0,7412305.0,7355098.0,7297260.0,7238788.0,7166888.0,7094231.0,7020812.0,6946625.0,6871664.0,6789026.0,6705542.0,6621205.0,6536010.0,6449950.0
EnergyStart,Feedback,OCDEPacific,TTWFossil,4956788.0,5055973.0,5156914.0,5259651.0,5364234.0,5470714.0,5579150.0,5689607.0,5802155.0,5916874.0,6033847.0,6153170.0,6274941.0,6399270.0,6526274.0,6656077.0,6788814.0,6924627.0,7063666.0,7206091.0,7352071.0,7501783.0,7655410.0,7813149.0,7975201.0,8141777.0,8313095.0,8489384.0,8670877.0,8857819.0,9050459.0,9249057.0,9453879.0,9665198.0,9883296.0,10108462.0,10340993.0,10581192.0,10829371.0,11085849.0,11350955.0,11625023.0,11908397.0,12201428.0,12504478.0,12817916.0,13142121.0,13477479.0,13824391.0,14183262.0,14554513.0,14938573.0,15335883.0,15746896.0,16172077.0,16611904.0,17066870.0,17537479.0,18024252.0,18527724.0,19048445.0,19586984.0,20143923.0,20719866.0,21315431.0,21931259.0,22568007.0,23226356.0,23907005.0,24610678.0,25338120.0,26090101.0,26867414.0,27670878.0,28501339.0,29359671.0,30246773.0,31163578.0,32111045.0,33090166.0,34101967.0,34725081.0,35351687.0,35981823.0,36615527.0,37252832.0,39006182.0,40765550.0,42531172.0,44303272.0,46082063.0,48812034.0,51551625.0,54301168.0,57060984.0,59831379.0,61453312.0,63082758.0,64719836.0,66364660.0,68417298.0,63792360.0,58489263.0,59064214.0,56191209.0,55492908.0,57337881.0,60119556.0,61411895.0,61394223.0,63382225.0,63016146.0,62359964.0,59162237.0,56609567.0,54031000.0,54236505.0,54442884.0,54650140.0,54858277.0,55067298.0,54177902.0,53280039.0,52373648.0,51458666.0,50535030.0,47986291.0,45414979.0,42820935.0,40203996.0,37563999.0,35903897.0,34228983.0,32539151.0,30834295.0,29114306.0,27164620.0,25197748.0,23213566.0,21211952.0,19192781.0,17000241.0,14788557.0,12557593.0,10307212.0,8037277.0,7194290.0,6343916.0,5486102.0,4620796.0,3747944.0,3561436.0,3373256.0,3183394.0,2991837.0,2798573.0,2775573.0,2752327.0,2728833.0,2705090.0,2681095.0,2673443.0,2665680.0,2657804.0,2649814.0,2641710.0,2631928.0,2622016.0,2611972.0,2601797.0,2591488.0,2568535.0,2545339.0,2521896.0,2498206.0,2474266.0,2463975.0,2453552.0,2442995.0,2432304.0,2421477.0,2408908.0,2396186.0,2383312.0,2370284.0,2357101.0,2344741.0,2332231.0,2319572.0,2306761.0,2293797.0,2284105.0,2274288.0,2264344.0,2254274.0,2244075.0,2235255.0,2226318.0,2217263.0,2208089.0,2198796.0
